Link,Title,Location,Salary,Summary
https://kr.indeed.com/viejob?jk=21d93be117fb1214 ,2020년 5월 신입/경력 공채,제우스 경기도 오산,,"다관절 로봇 Application 개발 Python/C/C# 프로그램 개발 [지원자격] 신입 또는 2년 이상 4년 이하의 유관업무 경력자 학사 이상 (컴퓨터 공학, 전기전자 전공) Python, C, C#, C++, Qt 중..."
https://kr.indeed.com/viejob?jk=2531a0c578f5ca30 ,[Robotics] Robot Software Engineer,네이버 대한민국,,Robotics 혹은 Computer vision 등 유사 분야 석사/박사 학위 혹은 5년 이상의 개발 경력 ㅇ Python / Lua 등 스크립트 언어를 C/C++와 연계 활용 능숙 ㅇ Docker / Kubernetes...
https://kr.indeed.com/viejob?jk=ba14be82795fd2e6 ,(클라우드서비스) 언더클라우드 서버 개발자 모집,카카오엔터프라이즈 성남 삼평동,,"래밍 언어에 능숙하신 분 - Linux 또는 Cluster 에 대한 이해 (우대사항) - Golang, Python 중 한가지 언어에 능숙한 개발자 - Openstack 혹은 Kubernetes를 이용한 개발 및 운영..."
https://kr.indeed.com/viejob?jk=5ed0334bca0963cb ,[Autonomous Driving] Virtual Environment...,네이버 대한민국,,"C/C++, Software Design, Debugging Skills ㅇ 스크립트 언어 개발 경험 ( Python, Bash, etc) ㅇ Embedded Platform과 System Software 개발 경험 및 이해..."
https://kr.indeed.com/viejob?jk=212ca67d161b7162 ,2020 Market Data Analyst - Seoul (Korean...,Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viejob?jk=b449106e6f9d0deb ,스마트모니터링 시스템 개발원,KAN 울산 북구,"연봉 24,000,000원 - 26,000,000원","기계/기구 설계 - 전기/전자회로 및 PCB 설계 - GUI S/W 또는 펌웨어 S/W 개발 (C, PYTHON, JAVA 등) 상세모집요강 접수기간/방법 지원방법 직무/산업 직무별(직종) 기계.자동차.조선.철강기계..."
https://kr.indeed.com/viejob?jk=8d81a4db5165ec80 ,2020년 하반기 IT전공자 위한 빅데이터 취업연계교육,중앙에이치티에이 서울 종로구,"연봉 30,000,000원 - 32,000,000원","전형차 실무자면접 제출서류 이력서 및 자기소개서 직무/산업 직무별(직종) 인공지능(AI).빅데이터빅데이터, 머신러닝, 사물인터넷(IoT), DataAnalysis, Hadoop, R, Python 산업별(업종) 학교 교육기관"
https://kr.indeed.com/viejob?jk=fb3aedda32d2843b ,백엔드 엔지니어 (e-커머스),리디 서울특별시,,"대용량 트래픽 운영 경험 MSA에 대한 이해도가 있으신 분 RDBMS에 대한 깊은 이해도가 있으신 분 Python/Django 개발 경험이 있으신 분 콘텐츠 혹은 커머스 서비스 개발 경험 [지원 시 유의 사항] 이름, E..."
https://kr.indeed.com/viejob?jk=6ed2963730d3c340 ,Systems Engineer,Hewlett Packard Enterprise 3.8 대전,,"Programming and scripting knowledge and experience (e.g. Perl, Python, C++, etc.) Ability to gather data, perform analysis..."
https://kr.indeed.com/viejob?jk=f281c810daf0e10d ,카카오 네트워크 엔지니어,카카오 4.2 성남 판교역,,"있는 자신감 넘치시는 분 (기술, 응대 모든 면에서) 해외여행 결격사유 없는 분 선호 자격 bash, python 등을 이용한 인프라 관리 자동화 스크립트 가능하신 분 인프라 운영 및 관리 관련 Tool 개발/경험이 있으..."
https://kr.indeed.com/viejob?jk=3a08c7089343733d ,광고팀 - 분석가,Nexon 성남 분당구,,및 커뮤니케이션 능력 - (필수) 새로운 기술 습득에 능동적이고 거부감이 없는 분 - (선택) R 혹은 Python을 이용한 데이터분석 능력 - (선택) SQL 기본 활용 능력 - (선택) 통계 및 분석에 대한 이론...
https://kr.indeed.com/viejob?jk=7e259408fd9b4f9c ,악성코드 및 엔드포인트 위협 대응 보안 엔지니어 (경력),카카오 4.2 성남 판교역,,"수집/분석 및 테스트 가능하신 분 침해사고대응 가능하신 분 #우대사항 Splunk, ES, EDR 경험자 Python/Linux shell script 중급 이상 가능자 이슈를 적극적으로 발견하고 개선하고자 하는 능동적인..."
https://kr.indeed.com/viejob?jk=eb45c08f4c4a43d8 ,Data Analyst,Axiologic Solutions 서울,,"algorithms and data manipulation capabilities using R, Python, C++, JavaScript, Go, and other known programming languages..."
https://kr.indeed.com/viejob?jk=48090bdf1303bd76 ,매칭팀 - 데이터분석가,Nexon 성남 분당구,,및 대시보드 설계 지원자격 - (필수) 데이터 정제 및 머신러닝 기법 적용에 필요한 프로그래밍 능력 (R or Python) - (필수) SQL 기본 활용 능력 - (선택) Spark를 활용한 데이터 처리 및 분석 능력...
https://kr.indeed.com/viejob?jk=05d6f01f9a494a1b ,[Robotics] Deep Reinforcement Learning E...,네이버 대한민국,,"learning framework 활용 능숙 ㅇ ROS, ROS2 와 같은 로봇 미들웨어 활용 개발 경험 ㅇ Python 언어 활용 능숙 ㅇ Unity3D, UnrealEngine4 등 3D 엔진 기반 개발 경험 혹은 여타..."
https://kr.indeed.com/viejob?jk=4688f7b98878484e ,Security Engineer,이베이 코리아 대한민국,,"시스템 개발 경험이 있고 개발이 가능하신 분 - 시스템 설계 , 개발 , 운영 경험을 두루 갖추신 분 - Python, Java 개발이 능숙하신 분 - 이상거래 탐지의 가치를 누구보다 잘 아시는 분 - AI를 이용해서 탐지..."
https://kr.indeed.com/viejob?jk=6c6ccc05ec15dc41 ,Design for Test (DFT) Engineer,SiFive 대한민국,,"power intent (UPF/CPF). Good scripting skills using Tcl, Perl, Python, Makefile and Shell scripts Preferred qualifications..."
https://kr.indeed.com/viejob?jk=a358a39da5dfc360 ,[NAVERxLINE] Global Ad Data Engineer/AI...,네이버 대한민국,,"Engineering [자격요건 ] - Java, Scala, Python 등의 언어를 활용한 소프트웨어 개발 역량 - 리눅스 환경에서의 시스템 개발... 워크 기반 개발 가능하신 분 - Python, Java, Scala 중 1..."
https://kr.indeed.com/viejob?jk=7d85150a375cfacf ,[Search] BigData and AI Platform S/W엔지니어...,네이버 대한민국,,터에서 수행되는 다양한 작업에 대한 문제 해결과 성능 향상을 위한 기술 제안 [필수조건] - Java / Python / C / C++ 개발 가능 (경력사원의 경우 1년 이상의 경력) - 리눅스 환경에서의 개발 경험 - 우수...
https://kr.indeed.com/viejob?jk=b009f7aa9de5ef48 ,"Cyber Defensive Operator, Mid",Booz Allen Hamilton 경기도 평택,,"programming languages, including Bash, Python, or PowerShell BA or BS degree... our PyNights ( Python competition..."
https://kr.indeed.com/viejob?jk=a4946f6098077a45 ,[개발]Python 백엔드 개발자(정규직),위메프 2.8 대한민국,,"3년 이상자 - Python 개발 경험 보유자 - 개발 환경 변화에 유연한 자(새로운 언어 및 새로운 시스템 적용 등) [우대사항] - 마이크로서비스 아키텍처에 대해 이해하고 있는자 - Python Django, Flask..."
https://kr.indeed.com/viejob?jk=19b44e0d17d112e2 ,분석실 - 베이지안 분석 전문가,Nexon 성남 분당구,,"동으로부터 피드백을 받아 최적화 모델을 개선합니다. - 주요 활용 tool : SQL, zeppelin, python, tableau 지원자격 - (필수) 논리적이고 체계적인 문제 해결 및 커뮤니케이션 능력을 소유하신 분..."
https://kr.indeed.com/viejob?jk=ce6747e77c861c46 ,Data Scientist,Boston Consulting Group 4.2 서울,,"analysis a plus, Programming... scripting exp.: eg. Python, C#, VBA, Java, Perl, etc. Experience in applied analytics..."
https://kr.indeed.com/viejob?jk=cd8ee27085e6a2ff ,머신러닝/딥러닝,NHN 4.4 성남 판교역,,"PyTorch 개발 경험 - 고속 병렬 처리 관련 지식/개발 경험 - C++, Java, Python 개발 경험 [Computer Vision 연구개발] Job Description 자격요건 우대사항 - 딥러닝..."
https://kr.indeed.com/viejob?jk=8e2147693973f86d ,네트워크 보안,NHN 4.4 성남 판교역,,"환경의 네트워크 보안 설계/적용/운영 경험 - 기업용 네트워크장비 설정 및 구조 설계 가능자 - Python, Script Language 활용 능력 공통지원자격 - 병역필 혹은 면제로 해외여행에 결격 사유가..."
https://kr.indeed.com/viejob?jk=45773a15dc174fee ,"Cybersecurity Policy Specialist, Mid",Booz Allen Hamilton 경기도 평택,,Competitions — From programming competitions at our PyNights ( Python competition and learning events) to competing in CTFs...
https://kr.indeed.com/viejob?jk=3e617a8ed7934773 ,Quant 트레이딩 부문,벨에포크자산운용 대한민국,,"거시경제 데이터 관리 3. 지원자격 및 우대사항 (1)필수사항 -투자자산운용사 보유, Python, 엑셀 VBA 사용 능력자 ( Python 패키지 : Scikit-learn, Keras, Tensorflow 활용가능) (엑셀..."
https://kr.indeed.com/viejob?jk=a459013391a3d600 ,Solutions Architect,Cloudera 대한민국,,"tools Familiarity with scripting tools... bash shell scripts, Python... Perl, Ansible, Chef, Puppet Solid background..."
https://kr.indeed.com/viejob?jk=fb617eeb80ea6fa9 ,AI/빅데이터 분야 (인재 Pool),LG유플러스 3.8 서울,,"Science를 위한 언어(R/ Python) 및 Tool(scikit-learn/Tensorflow 등) 능숙자 . Deep Learning Model 구현 경험자 . Java, Python등을 이용하여 분석을 위한 Data..."
https://kr.indeed.com/viejob?jk=58dbff5fd8f974f0 ,기상청 국가태풍센터 공무직 근로자,기상청 대한민국,,"참고 ㅇ 우대조건 - 기상기사, 전산 관련 자격증 소지자 - Python, Fortran 유경험자 국가태풍센터 (제주) 1명 태풍 강도... 전산 관련 자격증 소지자 - Python, Fortran 유경험자 국가..."
https://kr.indeed.com/viejob?jk=29fe737d11034db3 ,(주)웨이브웨어 2020 년도 신입사원 (개발자),웨이브웨어 대전 유성구,"연봉 25,000,000원 - 30,000,000원","유경험자 - keras/theano/tensorflow 유경험자 - python, java 유경험자 - lwjgl/jogl 을 이용한 OpenGL... tensorflow 유경험자 - python, java 유경험자..."
https://kr.indeed.com/viejob?jk=feac8a234b715106 ,네이버 일본 맛집 서비스 CONOMI 머신러닝 개발자,네이버 대한민국,,"2 년 이상 ) - 컴퓨터 관련 전공자 수준의 프로그래밍 역량 (Linux/Shell, C++, Python, TensorFlow, PyTorch 등 ) - Production level 의 machine learning..."
https://kr.indeed.com/viejob?jk=03801e6002dec8d0 ,근로자(연구원),기상청 대한민국,,"대기과학 관련학과 석사학위 이상 ․우대요건 - 통계분석분야 유경험자 - 그래픽 프로그램(matlab, python 등), 서버운영(리눅스), 프로그램 언어(포트란,C등),통계프로그램 (SSPA, R) 등 유경험자 우대..."
https://kr.indeed.com/viejob?jk=0bbf23c0930be392 ,Support Engineer,Microsoft 4.2 서울,,"Linux script-based development environments and tools (PERL, Python, Ruby, PhP, etc.) Programming language (C++/C#) Please..."
https://kr.indeed.com/viejob?jk=f4a5057bd3043129 ,웹프론트엔드 개발자,Nexon 성남 분당구,,"능한 분 - 다양한 분야의 사람과의 협업 능력이 원활하신 분 우대사항 - Spring, Node.js, Python 등 한 가지 이상의 백엔드 기술에 대한 이해 - TypeScript 경험자 우대 - 프로젝트 설정부터..."
https://kr.indeed.com/viejob?jk=f281c810daf0e10d ,카카오 네트워크 엔지니어,카카오 4.2 성남 판교역,,"있는 자신감 넘치시는 분 (기술, 응대 모든 면에서) 해외여행 결격사유 없는 분 선호 자격 bash, python 등을 이용한 인프라 관리 자동화 스크립트 가능하신 분 인프라 운영 및 관리 관련 Tool 개발/경험이 있으..."
